id	text	label
17307	the next thing you'll do is claim i am racist because the mexican race is so despicable .	2
3996	breitbart isn't white nationalism . try     ; yuge difference .	0
4912	black thug attacks old white man with urine because of slavery # swrm # blackthug via	2
15127	filthy jew tranny says europe cant criticize jew baby killing because white man colonized africa via	2
20905	Theresa May is a traitor and needs to be shot like a traitor	2
16117	i would like to report the white people that came here from europe illegally	0
9094	these people are so evil that they even kill fellow muslims .	1
7854	if black dysfunction is an indicator of institutionalized white supremacy  it appears cities get more white supremacist as they get blacker .	1
15161	hey black lies matter how does it feel knowing the white man you hate so much is still leading and lying to you ?	1
19742	well, barack obama can't very well ask new citizens to do something he wouldn't do himself, now, can he?	1
5812	adolf hitler : the greatest story never told ( 2013 ) - imdbvote for us on & leave a review .	0
17232	senator brown ain't 4the people he's 4hisself & the liberal communist cause . the sooner u realize dat da sooner u wil get yer pitchfork & march	0
18931	talmud : last straw for great flood was marriage contracts for homosexuals . that's true jewish attitude .	2
11356	benedict boehner if anyone is lucifer it's obama or hillary . boehner you are a crybaby and a disgrace !	0
12544	muhammed was a pedophile and invader of europe.muslims are pawns of greater power structures	2
18621	bought  and paid for by islam . this stupid  evil woman !	2
18412	you know why . jews run the media and promote ' white guilt ' to paralyze white power . idea of bad black guy undermines the narrative .	1
12515	lynching is not indian thing its inherited from islam # what punishment shari'a gives for thefts ? ? ?	1
19909	let's hope they get to meet allah while living in the caliphate then. otherwise they may not get to heaven.	1
14349	jew alan dershowitz claims jews are entitled to control the media daily stormer	1
18770	islam is a garbage religion and a violent political system . outlaw islam .	2
19607	should never have set up these sanctuary citys they are illegal. the need to leave out country be citizens	1
3558	the white man's march is on !	1
16344	sure sounds like your type of crowd . maybe one of your readers ?	0
12673	simply put  jews brought violent degenerates and islamic jihadists into europe . i stand for white countries and people	2
2198	diversity is codeword for anti white . diversity equals death  jews wish to see you exterminated . what are you doing about it ? join	2
4639	you are a coward ! you refused to listen to the actual people your # grahamcassidy bill will devastate & possibly kill ! i used to respect you .	2
6792	black hispanics  white muslims - distinguishing between the concepts of race  ethnicity  and religion	0
9296	" do you apply this standard to people who mock white people for  "" supremacy "" "" or "" "" racism "" "" ? """	0
18305	uk : racist black man punches pregnant white girl in stomach as onlookers watch via	1
19387	democrats want to keep these 3rd world losers in hopes of them voting democrat and bringing in millions more via chain migration.	2
1361	here is your white future  you inbred fuckos .	2
14421	nick bashes conservatism inc everyday on his show	0
1520	milo is done . spencer is right . this presser was his last chance and he wasn't defiant enough .	0
2316	i think milo himself claims he was getting passed around by men at that age . or  at least  that was his fantasy .	0
5608	"  "" french people is  among all western countries  the only one stepbrother of russia "" "" v putin  10/19 / 16 """	0
1212	attn : all white people : here's yoir eake up call >	0
6246	rip white race ? europe may well be on its last legs  germany may become banana republic without	1
2846	"  "" you're a racist "" "" ! """	0
18056	muslims always plagiarise  copy and twist other people's work just like mohammad who copied then twisted the ot .	2
7640	america-white country - being taken over-by white hating africans !	2
7577	: compassion : a must for national socialists : # ff # p2 # ows # occupy # tcot # tlot # news # freedom # free ...	0
12376	how about a class for bigot jews who think they're god's chosen ?	2
4644	you can run  but no longer hide white trash ! expect us !	2
4633	yes and latin america is white class civilizing brown savages	2
250	: uk : racist black man punches pregnant white girl in stomach as onlookers watch in horror sit & watch	0
799	typical . let me guess you are a white male too ? your toxic masculinity and implicit rac	0
6935	how church leaders should respond to planned parenthood # ppsellsbabyparts	0
19332	. it's no news that islam breeds mentally unstable individuals with neurotic minds. perversion is only one of the symptoms!	2
9093	these cucks will continue to cuck in a fit of rage . like the sodomites they are  to punish all who dare not to conform to their degeneracy	2
9172	what it surprises me is that you keep fueling crazy white people to go and kill people thanks to your rhetoric .	0
21019	What do you call a fight between a mexican and a child molester? Alien vs Predator	1
18621	bought  and paid for by islam . this stupid  evil woman !	2
9130	truconservatives exploit issues like sjws to stir up anger  elect republicans  and pass their financial agenda . it's a scam  people	0
10921	the white dilemma by brother	0
2671	too many taft military rape arrangements . white race genocide plan to end all natural life 0 .	2
3033	and if somebody really thinks they must vote then vote third party or write in . it won't do anything but make you feel good but	0
13276	good psych-ops  hunter ! next time  you should offer them 12 months and a gym membership	0
8068	right  but without the alt-right as a banner ( sort of ) how would something as niche get recognition in the us ? big country  not like the uk .	0
11156	" otherwise you hear these same black people . that are ment to represent you ... say you are an  "" uncle tom "" ""  race traitor and you know what els """	1
4361	racist black thugs shoot white baby in the face for the fun of it ! read more : via	2
5189	like i said ... your timeline is filled with white supremacists who promote race realism ... so miss me with your foolish talk	0
20223	do you support gun control? let's disarm black people, gangbangers, and obvious lunatics and see if that makes a difference. # nra	1
3014	agreed . the white race got too selfish and stopped having kids in exchange for materialism . now they're done .	1
11388	case in point . guy mistakenly thought he was an outsider here . if you are white  if you are pro-white  you are in the movement . simple as that .	0
